,Explained Variance,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,Mean Squared Log Error,Median Absolute Error,R-Squared,Mean Absolute Percentage Error,D-Squared Absolute Error Score,D-Squared Pinball Score,Raw Mean Absolute Percentage Error,Error Ensemble
LinearRegression~p333,-0.16898551701642303,1.9221441824339756,2.026259421783252,1.923717879595416,0.08546015996657863,1.910160624133071,-0.14093594320894048,-0.022575330569213743,-0.0,-0.0,0.30696920438405295,1.3603758285487002
LinearRegression~p847,-0.15186306102531483,0.16714934284265562,-0.14121069526929653,0.16487584769339336,-0.36863795151833284,0.1620700185250368,-0.15186027317466036,-0.34870199773212884,-0.0,-0.0,0.17604066539185984,-0.08560978979743553
LinearRegression~p669,-0.0800845122257688,1.465924524447351,1.3065838600784312,1.466145379094372,1.861522907858688,1.4605308080405484,0.5627054067072398,1.9195048054837254,-0.0,-0.0,1.0866469812159294,1.7198561157835817
LinearRegression~p286,-0.01967480596315299,-1.242450325463512,-0.7093451992740426,-1.2354973199347086,-0.5418218286253924,-1.2551760245267556,-0.20556797380312003,-0.7521515920966904,-0.0,-0.0,0.014069654536873663,-1.038776690651816
LinearRegression~p874,-0.10056433812894404,-1.0326321906135005,-0.6900053515579707,-1.028526045639221,-0.5318002828940188,-1.0296801856133144,-0.20414687570128257,-0.6710042045799188,-0.0,-0.0,0.04664751449242521,-0.9089028116169161
LinearRegression~p944,-0.18491431247757936,-0.5690972763129323,-0.5680690684452834,-0.571945464572269,-0.4168241395649517,-0.5647409928039115,-0.2061299906606204,-0.33444782933850736,-0.0,-0.0,0.18176321932638143,-0.5645831861063019
LinearRegression~p434,-0.14540071799527854,-0.20561552778140885,-0.3929032889117619,-0.20829169750077428,-0.3681163482404407,-0.2085065292062215,-0.17584037292941415,-0.3455798922030588,-0.0,-0.0,0.17729408241248143,-0.32961364501078455
LinearRegression~p921,0.661431524555158,0.12205352807691722,-0.1752224034361908,0.12014797197749112,1.2556999452233395,0.11502129233423954,0.610337851145367,1.51788315517339,-0.0,-0.0,0.9254098264618911,0.6240959616098324
LinearRegression~p579,-0.18491431247757936,-0.9427809305840665,-0.6761518515835595,-0.9465725143786273,-0.5015436485230017,-0.948546143775464,-0.2061299906606204,-0.5357510129830587,-0.0,-0.0,0.10094697710264426,-0.8367263847290156
LinearRegression~p763,6.7613636796332015,2.140078243148829,2.4091132764512517,2.142517939644061,8.742751091264916,2.1333608679289293,18.818044377946993,7.859793378205341,-0.0,-0.0,3.47146669186516,6.775521234146828
LinearRegression~p54,-0.18491431247757936,-0.06505510774344826,-0.30543890847203437,-0.06586510938988298,0.26050974367001045,-0.05819046554559123,-0.2061299906606204,0.5497636374613717,-0.0,-0.0,0.536743437642661,0.026026446482217226
LinearRegression~p350,-0.12577649265298557,-1.1826929159864699,-0.7059389977831477,-1.1739916838656905,-0.5402064783413979,-1.1633800793676048,-0.20566495940969504,-0.7304066989272533,-0.0,-0.0,0.02279947451137296,-1.0025636463868075
LinearRegression~p919,0.07650362852284581,-0.8104991129757945,-0.6456371028698135,-0.8114550705843598,-0.4804919297711775,-0.8061905048564704,-0.18128872927153,-0.47753835670167827,-0.0,-0.0,0.12431733839226085,-0.7248139783438694
LinearRegression~p656,0.2094382211886473,-0.01778760327348751,-0.27540617292237546,-0.020581675541692712,0.6867003922918988,-0.00972467187499943,0.4576171531657578,0.9875866130419338,-0.0,-0.0,0.7125141681648048,0.2993192109619611
LinearRegression~p646,-0.15682362319806661,0.7952592643573114,0.44822230454841144,0.7941024356442795,-0.053090263458743715,0.7918409133377287,-0.09570183827668717,-0.09450771542404846,-0.0,-0.0,0.27809084820055524,0.4564119946524351
LinearRegression~p306,-0.16210541586138194,0.4612005351416797,0.10878261141618929,0.4592800729191386,-0.22376844644471797,0.45798105707810766,-0.1280420735781536,-0.21159876043962916,-0.0,-0.0,0.23108285714504065,0.16602549691756832
LinearRegression~p816,0.04440502284912039,-0.8056532189342225,-0.6416130547729046,-0.7962793591798603,-0.5181346374843538,-0.8315519239741026,-0.19953628272564666,-0.6021733376578162,-0.0,-0.0,0.0742807188607607,-0.7583556788340678
LinearRegression~p682,-0.03606147420577358,-0.255762676519125,-0.42124218647175005,-0.2585664819457777,-0.0842771835572052,-0.2549755458928678,-0.095771513181667,-0.10094422172238823,-0.0,-0.0,0.2755068142937705,-0.254134805949457
LinearRegression~p988,-0.18491431247757936,-0.19036518985255277,-0.3833299465897993,-0.1918184587457543,0.01148888895325475,-0.18944054005970462,-0.2061299906606204,0.2754566366961822,-0.0,-0.0,0.4266186963636055,-0.14712476127598167
LinearRegression~p697,5.340249740361475,-0.8198031137881417,-0.6476761973371687,-0.8193239516861139,-0.09935316566940128,-0.8228153883775714,0.1788965635670776,0.20062506980721928,-0.0,-0.0,0.39657641920638625,-0.1709463939288131
LinearRegression~p419,-0.18491431247757936,-0.4272395378634974,-0.5077618610900501,-0.42963347254953604,-0.18918613856496308,-0.43597169070240827,-0.2061299906606204,0.030647416917263137,-0.0,-0.0,0.3283362904619106,-0.37546938848421885
LinearRegression~p558,-0.07140813307486046,0.8791299441283875,0.5426391661365233,0.8781488400600349,0.7137162382123055,0.8711059571308145,0.2715650167144378,0.9512147232537854,-0.0,-0.0,0.6979121166620111,0.8786115598637647
LinearRegression~p358,-0.17736161020930066,1.7803171477382305,1.7904435509671386,1.7812534869455126,0.010647004821863757,1.776045857775888,-0.14655280306970125,-0.061973512941356515,-0.0,-0.0,0.2911522014330008,1.2246612176809692
LinearRegression~p177,-0.16681242365867316,1.6192045093015215,1.5367405352160648,1.6202601636044913,-0.21176812613268647,1.6186176900165934,-0.15259571392550778,-0.20689838241334438,-0.0,-0.0,0.2329698958010517,1.0325927856956554
LinearRegression~p22,-0.18491431247757936,0.9017310211232834,0.5700040465351599,0.9019113594695659,3.660373475999185,0.908930798362388,-0.2061299906606204,3.521011548661732,-0.0,-0.0,1.729596360040249,1.7983405162828792
LinearRegression~p939,-0.0751047629616967,0.014950310859666265,-0.2515516870536736,0.01428371056870731,-0.149818018233079,0.0025943080896777275,-0.16237304969992636,-0.152551775975811,-0.0,-0.0,0.2547881722454476,-0.11134125617160295
LinearRegression~p631,0.024894214779384038,-0.25065614656242885,-0.4181642830807413,-0.2529904132353594,-0.08644010336949413,-0.24407654089447164,-0.09459851989992216,0.15834245276310155,-0.0,-0.0,0.3796014158357258,-0.19758665086002708
LinearRegression~p360,-0.1414381794104075,-0.8560133465119608,-0.657274595811938,-0.8581991077929559,-0.5163753747155513,-0.8330655227953206,-0.20102844151742535,-0.590978933013227,-0.0,-0.0,0.07877488383584177,-0.7909925245362639
LinearRegression~p902,-0.18491431247757936,1.0741273351235274,0.7764454005545044,1.0735556604051157,-0.10026273797599922,1.0583924875462198,-0.2061299906606204,-0.1258688790612032,-0.0,-0.0,0.2655004293555468,0.6336264964784325
LinearRegression~p532,-0.18491431247757936,-0.5177680337115299,-0.5476066662087279,-0.5207790765109578,-0.41396961950518024,-0.5173202840011991,-0.2061299906606204,-0.40115941303881014,-0.0,-0.0,0.15498083362416348,-0.5463072709863709
LinearRegression~p23,-0.05325568849122981,-0.7345120228453068,-0.6232801898953962,-0.7321587125613672,-0.5087191690948768,-0.743151012114018,-0.19778961262228412,-0.5843352881514651,-0.0,-0.0,0.08144207668732042,-0.7164387448000364
LinearRegression~p561,-0.09748500551765392,-1.231525057544877,-0.7086926403527087,-1.2204044263702927,-0.5417866791695646,-1.2340384442111165,-0.2059273136671302,-0.7525784800838583,-0.0,-0.0,0.01389827382471219,-1.0353080616554862
LinearRegression~p496,-0.18491431247757936,-0.18126193498304055,-0.377976526554747,-0.18271149875952922,-0.47228782252380186,-0.1656070342115811,-0.2061299906606204,-0.4995780428362708,-0.0,-0.0,0.11546916927272302,-0.36164981997224943
LinearRegression~p297,-0.16618869928059474,-0.4197825312688752,-0.5048842012842162,-0.4234132782489027,-0.434050795292012,-0.41499106490677823,-0.18650939346139825,-0.4315754260339957,-0.0,-0.0,0.14276985996147357,-0.49153608025634987
LinearRegression~p426,-0.008684224311515673,-0.6957707640502228,-0.6127571980055904,-0.6983800645490671,-0.47463122084203474,-0.6977207333613945,-0.16875815159881688,-0.46305702004122945,-0.0,-0.0,0.1301310925022843,-0.6595943430093568
LinearRegression~p525,-0.18491431247757936,2.389375549028443,2.8766154333829346,2.392202624236646,1.4313130610478204,2.3918105053510765,-0.2061299906606204,1.527322922457443,-0.0,-0.0,0.9291995654295111,2.2586230433548082
LinearRegression~p53,-0.18491431247757936,2.192436223881864,2.5036621484017414,2.1944499747124837,1.0889048518844888,2.1629563053122607,-0.2061299906606204,0.3317451977064371,-0.0,-0.0,0.44921660017551324,1.8044227599243223
LinearRegression~p150,-0.16723580390971934,0.05676546674287283,-0.22275287302952143,0.05519028335756248,-0.45168874791423236,0.06915700315429986,-0.19450480115464638,-0.4630853434387434,-0.0,-0.0,0.13011972164111535,-0.1955959920743001
LinearRegression~p41,-0.012772972175651466,2.2917928080700767,2.6909218294538393,2.295097440754305,0.2753590138058691,2.249926240175963,0.11797214214868419,0.5081053360032429,-0.0,-0.0,0.520019075313577,1.83349145229106
LinearRegression~p398,-0.12503548555651725,0.13740075389102993,-0.16353614737533967,0.13567225160517607,-0.22590706151916853,0.13529618546575814,-0.15398733842050305,-0.21123134814800473,-0.0,-0.0,0.23123036042948114,-0.05454171681148563
LinearRegression~p51,-0.18491431247757936,0.7015182893667509,0.3480420540969674,0.7010898485770286,-0.0851414858086878,0.6904777317932127,-0.2061299906606204,-0.11443637226375471,-0.0,-0.0,0.2700901840819228,0.3658885112189279
LinearRegression~p449,-0.11640321819313229,-0.8559791191370782,-0.6568451082976631,-0.85638849043377,-0.5113275231888742,-0.8474360185476867,-0.20098752194451824,-0.5903618398788473,-0.0,-0.0,0.07902262531374456,-0.7906285848105978
LinearRegression~p191,-0.18491431247757936,-1.2419562665084372,-0.7097287099846574,-1.2459927144237821,-0.5417139631184974,-1.2394615411926782,-0.2061299906606204,-0.7442464951645982,-0.0,-0.0,0.017243276617258316,-1.0469136737514928
LinearRegression~p356,-0.18491431247757936,2.3752710099828427,2.8480998727982745,2.377457085638048,0.438873845476562,2.3731918231432396,-0.2061299906606204,0.1301091726786131,-0.0,-0.0,0.3682667336872928,1.8239285881723533
LinearRegression~p443,-0.17197788434835296,0.5413501965069307,0.18468701446980498,0.5394197545972048,0.09707775157439953,0.5405280713689213,-0.1208102550700716,-0.007709486096293596,-0.0,-0.0,0.31293732503685534,0.3123796737737897
LinearRegression~p517,0.0038572115481816356,-0.7014205644081363,-0.614503220116583,-0.7038546235852352,-0.3227390933232394,-0.678524660309757,-0.16942356306428233,-0.15750824400901292,-0.0,-0.0,0.25279832233898636,-0.5760789243092863
LinearRegression~p298,-0.16144701536311376,0.27238659781559565,-0.057063330539661755,0.2701059050339188,-0.29433273884902905,0.2847306155161535,-0.14384310361430888,-0.2717698543341729,-0.0,-0.0,0.206926251119201,0.014909385476275525
